Image 1316,Image 1535,Image 1549
2.395,3.004,1.235
3.822,3.101,1.953
1.815,1.923,2.47
2.12,2.432,0.781
2.244,1.961,1.562
1.761,1.72,1.562
2.784,2.308,1.562
6.102,4.088,1.562
4.096,4.16,2.344
2.304,1.923,1.953
2.559,2.308,1.953
1.392,0.769,4.832
1.378,1.216,1.562
1.06,1.538,1.235
2.092,0.86,1.562
1.537,1.154,2.975
1.857,1.72,3.051
1.949,1.586,2.344
1.939,1.923,1.953
2.521,2.432,1.235
2.201,3.004,1.562
1.499,1.216,2.344
2.567,1.586,0.873
1.575,1.154,0.391
1.499,1.961,0.552
1.433,1.961,0.873
1.378,2.176,1.105
1.623,1.538,1.172
4.152,1.72,0.781
2.926,1.923,0.873
2.007,1.387,0.781
1.587,3.286,0.873
4.058,3.172,0.781
2.641,1.923,0.873
0.88,2.58,1.657
1.392,1.088,0.781
1.419,1.154,1.235
1.419,2.071,0.391
1.587,1.72,0.781
1.587,2.071,1.172
1.392,1.538,1.562
0.984,1.538,3.494
1.419,1.923,2.844
2.798,2.929,1.172
1.761,3.004,1.611
